10082348.jpg| 0| A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .;
10082348.jpg| 1| A man is wearing a ball cap and holding a coffee cup between to urinals .;
10082348.jpg| 2| a man is posing next to a urinal with a cup of coffee .;
10082348.jpg| 3| A man holds a coffee cup while in the bathroom .;
10082348.jpg| 4| A man standing at a urinal with a coffee cup .;
101471792.jpg| 0| A man with a red jacket is shielding himself from the sun trying to read a piece of paper .;
101471792.jpg| 1| a man wearing a red coat is outside with his hand over his head to block out the sun .;
101471792.jpg| 2| A man in a red jacket shades the sun from his eyes on a busy street .;
101471792.jpg| 3| An elderly man in a red jacket shielding his face from the sun .;
101471792.jpg| 4| Man in red jacket shielding face from the sun to read .;
101669240.jpg| 0| A person wearing skis looking at framed pictures set up in the snow .;
101669240.jpg| 1| A man in a hat is displaying pictures next to a skier in a blue hat .;
101669240.jpg| 2| A man skis past another man displaying paintings in the snow .;
101669240.jpg| 3| A skier looks at framed pictures in the snow next to trees .;
101669240.jpg| 4| Man on skis looking at artwork for sale in the snow;
1034985636.jpg| 0| A man with wild hair rocks a show playing a guitar center stage .;
1034985636.jpg| 1| A man wearing black is playing an electric guitar at a concert .;
1034985636.jpg| 2| A man on stage playing the electric guitar during a concert .;
1034985636.jpg| 3| A man playing an electric guitar on stage .;
1034985636.jpg| 4| A man playing guitar at a concert .;
104824673.jpg| 0| An African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance .;
104824673.jpg| 1| An African native gazes into the camera donning a hat of two corn cobs and necklaces of shells and beads .;
104824673.jpg| 2| A member of an African tribe is watching the camera intently in tribal dress .;
104824673.jpg| 3| An African woman with piercings , lots of necklaces and corn on her head .;
104824673.jpg| 4| A person is wearing a lot of jewelry with corn on his or her head .;
1053243591.jpg| 0| Young woman holding a bottle , reaching out from a bench to shake a man 's hand .;
1053243591.jpg| 1| A man shaking the hand of a woman in an orange shirt sitting on a bench .;
1053243591.jpg| 2| A man shaking the hand of a teenager sitting on a bench .;
1053243591.jpg| 3| A woman having a drink is shaking hands with someone .;
1053243591.jpg| 4| A young girl in a orange shirt shaking a hand .;
1055623002.jpg| 0| A group of four children wearing pajamas have a pillow fight .;
1055623002.jpg| 1| A group of young children playing pillow fight on a bed .;
1055623002.jpg| 2| Four children are having a pillow fight .;
1055623002.jpg| 3| A group of kids have a pillow-fight .;
1055623002.jpg| 4| Children having a pillow fight .;
110671448.jpg| 0| A woman standing with 3 other people in a store with two tables , some shelves with coffee and tea for sale , and a refrigerated drink case .;
110671448.jpg| 1| A woman in a gray sweater and black baseball cap is standing in line at a shop .;
110671448.jpg| 2| A woman in a hat waits to be served at a store .;
110671448.jpg| 3| Young people are standing in the store .;
110671448.jpg| 4| A woman in a cap at a coffee shop .;
113637264.jpg| 0| A man in a white shirt lays cement on a brick wall .;
113637264.jpg| 1| A bricklayer smoothing out concrete .;
113637264.jpg| 2| A man is happily laying bricks .;
113637264.jpg| 3| A man is putting up a wall .;
113637264.jpg| 4| A man is mortaring bricks .;
1146938063.jpg| 0| Two men talk while the one on the right holds in his left arm , and the one on the right holds a notebook behind him , they are in a field .;
1146938063.jpg| 1| The man in the white shirt is listening to the man in the blue shirt .;
1146938063.jpg| 2| Two men , one black , one white , are holding books and talking .;
1146938063.jpg| 3| Two men carrying books , walking and talking in a field .;
1146938063.jpg| 4| Two people are standing in a field holding some books .;
1160128934.jpg| 0| Three children sit on the grass , one laying down , one in overalls smiling and one in green looking through a tote bag .;
1160128934.jpg| 1| Several children are sitting on a blanket on the ground while one digs through a bag .;
1160128934.jpg| 2| Three small children On a blanket on the ground surrounded by people in wheelchairs .;
1160128934.jpg| 3| Three kids on a grass field , one of them searching for food in her mom 's purse .;
1160128934.jpg| 4| Three children are sitting in the grass surrounded by their parents .;
116021030.jpg| 0| The man in the hooded sweatshirt is controlling the large machine .;
116021030.jpg| 1| A man with his jacket hood up sits on a machine .;
116021030.jpg| 2| A worker operates machinery on a cold day .;
116021030.jpg| 3| A black man operates an orange crane .;
116021030.jpg| 4| A man operates an orange crane .;
1186603607.jpg| 0| Eleven men and women in cotton shirts and denim pants walk uphill along a shaded forest trail .;
1186603607.jpg| 1| A small group of people hikes through a forest during the day .;
1186603607.jpg| 2| A group of people dressed casually are walking in the woods .;
1186603607.jpg| 3| A group of people walking up a trail in a wooded area .;
1186603607.jpg| 4| A group of people walking down a trail in the woods .;
1187252153.jpg| 0| A man in a white shirt with hot pads on is holding a tray with a variety of breads with a wooden fence behind him .;
1187252153.jpg| 1| A young guy , probably in his early twenties , shows off his culinary skills with pride .;
1187252153.jpg| 2| A blond man shows off his freshly baked bread with a wide smile .;
1187252153.jpg| 3| A teenage boy stands in a backyard holding a tray of bread .;
1187252153.jpg| 4| A man shows what he has baked .;
1229536824.jpg| 0| Native Americans are dressed up in native clothing and are participating in an activity together .;
1229536824.jpg| 1| Three people are dressed in costumes and playing musical instruments .;
1229536824.jpg| 2| Women , wearing traditional clothing , are reenacting native life .;
1229536824.jpg| 3| A tribal performance of dance and song of three individuals .;
1229536824.jpg| 4| The indian 's are performing a sacred dance .;
1240297429.jpg| 0| A dog is wearing a red number 6 and running through a field of green grass while being chased by a bird .;
1240297429.jpg| 1| The dog in a vest leaps in the air and there is a bird flying .;
1240297429.jpg| 2| A dog in a number six jersey is running through a field .;
1240297429.jpg| 3| A white and tan dog leaps through the air .;
1240297429.jpg| 4| A dog is leaping through the grass .;
1248734482.jpg| 0| A girl wearing a pink shirt lays on the green grass and looks up .;
1248734482.jpg| 1| A closeup of a young girl with a pink shirt laying on grass .;
1248734482.jpg| 2| A young girl is laying in the grass posing for the camera;
1248734482.jpg| 3| Girl in pink shirt with white writing lying in grass .;
1248734482.jpg| 4| A girl in a pink shirt lies on her back in the grass .;
1280221720.jpg| 0| An man in khaki shorts and a white t-shirt is lifting a toddler onto the lap of a Jelly Belly .;
1280221720.jpg| 1| A father and his toddler are sitting next to a giant Jelly Belly mascot seated on a bench .;
1280221720.jpg| 2| A man and small boy pose with a large Jelly Belly mascot sitting on a bench .;
1280221720.jpg| 3| A small boy is sitting on a bench next to a large jelly bean mascot .;
1280221720.jpg| 4| A little boy is playing with a mascot from Jelly Belly .;
1290894194.jpg| 0| A woman crouches down next to her terrier dog to smile at a little girl sitting on the sidewalk .;
1290894194.jpg| 1| a woman with a brown dog is talking to a toddler who is sat on the ground .;
1290894194.jpg| 2| A woman squatting to face a small child while holding a dog .;
1290894194.jpg| 3| A woman in a red top and a small dog talks to a young girl .;
1290894194.jpg| 4| A woman showing a small dog to an infant;
129462636.jpg| 0| A chihuahua on a leash stands outside a door grate , behind which the lower legs , skirt , and hand of the person holding the leash can be seen .;
129462636.jpg| 1| A little brown dog on the end of a leash who 's owner is wearing a blue skirt and black flats .;
129462636.jpg| 2| A white person allowing a dog to go outside through a barred door .;
129462636.jpg| 3| A woman pulls a dog through a door .;
129462636.jpg| 4| A woman holding a dog on a leash .;
1303727066.jpg| 0| A dark-haired bearded man wearing a turquoise shirt with a yellow peace sign on it .;
1303727066.jpg| 1| The T-shirt worn by the man has a bright orange peace symbol on the back .;
1303727066.jpg| 2| A smiling bearded man wears a shirt with an orange peace sign;
1303727066.jpg| 3| A man with a peace sign shirt stops to look at something .;
1303727066.jpg| 4| A man wearing a peace sign on his shirt smiles .;
1303727828.jpg| 0| A woman in a floral print dress and a shaved head at a store .;
1303727828.jpg| 1| The person wearing earrings is wearing a feathered hat .;
1303727828.jpg| 2| A woman with a crazy hairdo is shopping outside .;
1303727828.jpg| 3| A person wears a headdress and sunglasses .;
1303727828.jpg| 4| A man in a feather hat looking down .;
1306080718.jpg| 0| A worker is sweeping off a sidewalk 302 miles from Liverpool .;
1306080718.jpg| 1| The man in the green vest is sweeping on the sidewalk .;
1306080718.jpg| 2| A man in a yellow jacket sweeps the street in England .;
1306080718.jpg| 3| A man in a yellow vest sweeping a sidewalk .;
1306080718.jpg| 4| A man sweeps the sidewalk along a fence .;
1330645772.jpg| 0| A black dog is running across a low cut field nearby an area of trees .;
1330645772.jpg| 1| A large black and white dog is running through a grassy field .;
